Изображение,Название,Автор,Количество страниц,Издательство,Язык,ISBN-10
"https://images-na.ssl-images-amazon.com/images/I/51szD9HC9pL._SX395_BO1,204,203,200_.jpg",Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,Hardcover: 395 pages,"Publisher: Addison-Wesley Professional; 1 edition (November 10, 1994)",Language: English,ISBN-10: 0201633612
"https://images-na.ssl-images-amazon.com/images/I/51oxrZwhY8L._SX331_BO1,204,203,200_.jpg",Influencer: Building Your Personal Brand in the Age of Social Media,Brittany Hennessy,Paperback: 256 pages,"Publisher: Citadel (July 31, 2018)",Language: English,ISBN-10: 0806538856
"https://images-na.ssl-images-amazon.com/images/I/517WrWTQypL._SX258_BO1,204,203,200_.jpg","Understanding Exposure, Fourth Edition: How to Shoot Great Photographs with Any Camera",Bryan Peterson,Paperback: 176 pages,"Publisher: Amphoto Books; Reprint edition (March 15, 2016)",Language: English,ISBN-10: 1607748509
"https://images-na.ssl-images-amazon.com/images/I/410TgmQuARL._SX398_BO1,204,203,200_.jpg",Data Visualization: A Practical Introduction,Kieran Healy,Paperback: 296 pages,"Publisher: Princeton University Press; 1 edition (December 18, 2018)",Language: English,ISBN-10: 0691181624
"https://images-na.ssl-images-amazon.com/images/I/41Wq1v9Tb2L._SX258_BO1,204,203,200_.jpg",Open Source Intelligence Techniques: Resources for Searching and Analyzing Online Information,Michael Bazzell,Paperback: 476 pages,"Publisher: CreateSpace Independent Publishing Platform; 6 edition (January 26, 2018)",Language: English,ISBN-10: 1984201573
"https://images-na.ssl-images-amazon.com/images/I/410TgmQuARL._SX398_BO1,204,203,200_.jpg",Data Visualization: A Practical Introduction,Kieran Healy,Paperback: 296 pages,"Publisher: Princeton University Press; 1 edition (December 18, 2018)",Language: English,ISBN-10: 0691181624
"https://images-na.ssl-images-amazon.com/images/I/41Wq1v9Tb2L._SX258_BO1,204,203,200_.jpg",Open Source Intelligence Techniques: Resources for Searching and Analyzing Online Information,Michael Bazzell,Paperback: 476 pages,"Publisher: CreateSpace Independent Publishing Platform; 6 edition (January 26, 2018)",Language: English,ISBN-10: 1984201573
"https://images-na.ssl-images-amazon.com/images/I/512lbb4iOyL._SX379_BO1,204,203,200_.jpg",Practical Statistics for Data Scientists: 50 Essential Concepts,Peter Bruce,Paperback: 318 pages,"Publisher: O'Reilly Media; 1 edition (May 28, 2017)",Language: English,ISBN-10: 1491952962
"https://images-na.ssl-images-amazon.com/images/I/51OIBcaRv5L._SX348_BO1,204,203,200_.jpg",Elements of Programming Interviews in Java: The Insiders' Guide,Adnan Aziz,Paperback: 482 pages,"Publisher: CreateSpace Independent Publishing Platform; 2 edition (October 6, 2015)",Language: English,ISBN-10: 1517671272
"https://images-na.ssl-images-amazon.com/images/I/51Ck%2BdT%2B9dL._SX356_BO1,204,203,200_.jpg",The Art of Bravely Default,None,Hardcover: 256 pages,"Publisher: Dark Horse Books (March 5, 2019)",Language: English,ISBN-10: 1506710263
"https://images-na.ssl-images-amazon.com/images/I/51m85J4Zi9L._SX258_BO1,204,203,200_.jpg",Building Microservices: Designing Fine-Grained Systems,Sam Newman,Paperback: 280 pages,"Publisher: O'Reilly Media; 1 edition (February 20, 2015)",Language: English,ISBN-10: 1491950358
"https://images-na.ssl-images-amazon.com/images/I/513uU4Xm%2BmL._SX258_BO1,204,203,200_.jpg","CCNA Routing and Switching Complete Study Guide: Exam 100-105, Exam 200-105, Exam 200-125",Todd Lammle,Paperback: 1136 pages,"Publisher: Sybex; 2 edition (September 26, 2016)",Language: English,ISBN-10: 1119288282
"https://images-na.ssl-images-amazon.com/images/I/416458RpfDL._SX258_BO1,204,203,200_.jpg",Essential Scrum: A Practical Guide to the Most Popular Agile Process (Addison-Wesley Signature): A Practical Guide To The Most Popular Agile Process (Addison-Wesley Signature Series (Cohn)),Kenneth S. Rubin,Series: Addison-Wesley Signature Series (Cohn),Paperback: 500 pages,"Publisher: Addison-Wesley Professional; 1 edition (August 5, 2012)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51hw1EfRvTL._SY344_BO1,204,203,200_.jpg",Heard In Data Science Interviews: Over 650 Most Commonly Asked Interview Questions & Answers,None,Paperback: 240 pages,"Publisher: CreateSpace Independent Publishing Platform (October 3, 2018)",Language: English,ISBN-10: 1727287320
"https://images-na.ssl-images-amazon.com/images/I/41dKkez-1rL._SY344_BO1,204,203,200_.jpg",Steve Jobs,Walter Isaacson,Hardcover: 656 pages,"Publisher: Simon & Schuster; 1 edition (October 24, 2011)",Language: English,ISBN-10: 1451648537
"https://images-na.ssl-images-amazon.com/images/I/31ziabeE9HL._SY344_BO1,204,203,200_.jpg",Rtfm: Red Team Field Manual,Ben Clark,Paperback: 96 pages,"Publisher: CreateSpace Independent Publishing Platform; 1.0 edition (February 11, 2014)",Language: English,ISBN-10: 1494295504
"https://images-na.ssl-images-amazon.com/images/I/41R%2BfNX-akL._SX258_BO1,204,203,200_.jpg","Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,Paperback: 792 pages,"Publisher: O'Reilly Media; 1 edition (August 20, 2015)",Language: English,ISBN-10: 1491946008
"https://images-na.ssl-images-amazon.com/images/I/516A35U3A6L._SX382_BO1,204,203,200_.jpg",Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),None,Series: Zed Shaw's Hard Way Series,Paperback: 320 pages,"Publisher: Addison-Wesley Professional; 1 edition (July 7, 2017)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51i4angt7vL._SX258_BO1,204,203,200_.jpg",How to Draw Fortnite for Kids and Teens: Learn to Draw all of your Favorite Skins and Characters with this Step by Step Drawing Guide (Fortnite Activity Book),None,Paperback: 81 pages,"Publisher: Independently published (December 3, 2018)",Language: English,ISBN-10: 1790630851
"https://images-na.ssl-images-amazon.com/images/I/515Td-%2BWrHL._SX258_BO1,204,203,200_.jpg",Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,Foster Provost,Paperback: 414 pages,"Publisher: O'Reilly Media; 1 edition (August 19, 2013)",Language: English,ISBN-10: 1449361323
"https://images-na.ssl-images-amazon.com/images/I/51vWtCoP8PL._SX396_BO1,204,203,200_.jpg",AWS Certified Solutions Architect Study Guide: Associate SAA-C01 Exam,Ben Piper,"Pre-order Price Guarantee! Order now and if the Amazon.com price decreases between your order time and the end of the day of the release date, you'll receive the lowest price.  Here's how (restrictions apply) ",,,
"https://images-na.ssl-images-amazon.com/images/I/415yeRIwxYL._SY344_BO1,204,203,200_.jpg",YouTube Secrets: The Ultimate Guide to Growing Your Following and Making Money as a Video Influencer,Sean Cannell,Paperback: 194 pages,"Publisher: Lioncrest Publishing (August 16, 2018)",Language: English,ISBN-10: 1544511817
"https://images-na.ssl-images-amazon.com/images/I/51frZKhRiIL._SX330_BO1,204,203,200_.jpg",Thinking in Systems: A Primer,Donella H. Meadows,Paperback: 240 pages,"Publisher: Chelsea Green Publishing (December 3, 2008)",Language: English,ISBN-10: 1603580557
"https://images-na.ssl-images-amazon.com/images/I/51AgLjrjgkL._SX430_BO1,204,203,200_.jpg",Head First PMP: A Learner's Companion to Passing the Project Management Professional Exam,Jennifer Greene,Series: Head First,Paperback: 928 pages,"Publisher: O'Reilly Media; 4 edition (September 21, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41uWtGB-27L._SY344_BO1,204,203,200_.jpg",Final Fantasy Ultimania Archive Volume 2,None,Hardcover: 320 pages,"Publisher: Dark Horse Books (December 18, 2018)",Language: English,ISBN-10: 1506706622
"https://images-na.ssl-images-amazon.com/images/I/51njDa2CcTL._SX397_BO1,204,203,200_.jpg",Windows 10 For Seniors For Dummies,Peter Weverka,Series: For Dummies,Paperback: 320 pages,"Publisher: For Dummies; 3 edition (May 22, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51RL9q7BVxL._SX331_BO1,204,203,200_.jpg","Programming Arduino: Getting Started with Sketches, Second Edition (Tab)",Simon Monk,Series: Tab,Paperback: 192 pages,"Publisher: McGraw-Hill Education TAB; 2 edition (June 9, 2016)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41HwkqQ9ebL._SX331_BO1,204,203,200_.jpg","CCNA Routing and Switching Portable Command Guide (ICND1 100-105, ICND2 200-105, and CCNA 200-125) (4th Edition)",Scott Empson,Series: Portable Command Guide,Paperback: 368 pages,"Publisher: Cisco Press; 4 edition (June 18, 2016)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51XswOmuLqL._SX258_BO1,204,203,200_.jpg",Site Reliability Engineering: How Google Runs Production Systems,Niall Richard Murphy,Paperback: 552 pages,"Publisher: O'Reilly Media; 1 edition (April 16, 2016)",Language: English,ISBN-10: 149192912X
"https://images-na.ssl-images-amazon.com/images/I/51GcBD5b1OL._SX258_BO1,204,203,200_.jpg",Eleventh Hour CISSP®: Study Guide,Eric Conrad,Paperback: 238 pages,"Publisher: Syngress; 3 edition (October 7, 2016)",Language: English,ISBN-10: 0128112484
"https://images-na.ssl-images-amazon.com/images/I/51OUF5NPJbL._SX373_BO1,204,203,200_.jpg",Final Fantasy Ultimania Archive Volume 1,None,Hardcover: 336 pages,"Publisher: Dark Horse Books (July 24, 2018)",Language: English,ISBN-10: 1506706444
"https://images-na.ssl-images-amazon.com/images/I/51m7wRWTltL._SX331_BO1,204,203,200_.jpg","Kingdom Hearts 3 Game Guide: Walkthroughs, Tips, Tricks, Complete Strategy Guide",None,Paperback: 184 pages,"Publisher: Independently published (February 18, 2019)",Language: English,ISBN-10: 179746731X
"https://images-na.ssl-images-amazon.com/images/I/411CEWqWUPL._SY344_BO1,204,203,200_.jpg",Them: Why We Hate Each Other--and How to Heal,Ben Sasse,Hardcover: 288 pages,"Publisher: St. Martin's Press (October 16, 2018)",Language: English,ISBN-10: 1250193680
"https://images-na.ssl-images-amazon.com/images/I/51Mjp9hhGgL._SX258_BO1,204,203,200_.jpg",Understanding Photography: Master Your Digital Camera and Capture That Perfect Photo,Sean T. McHugh,Paperback: 240 pages,"Publisher: No Starch Press (December 11, 2018)",Language: English,ISBN-10: 1593278942
"https://images-na.ssl-images-amazon.com/images/I/51tsL0ud3PL._SX389_BO1,204,203,200_.jpg",Accounting Information Systems (14th Edition),Marshall B. Romney,Series: Accounting Information Systems,Hardcover: 768 pages,"Publisher: Pearson; 14 edition (January 14, 2017)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/5186uqUuDUL._SX258_BO1,204,203,200_.jpg",The Algorithm Design Manual,None,Paperback: 748 pages,"Publisher: Springer; 2nd ed. 2008 edition (November 5, 2010)",Language: English,ISBN-10: 1849967202
"https://images-na.ssl-images-amazon.com/images/I/31LSfDuyzfL._SX334_BO1,204,203,200_.jpg",Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,Paperback: 400 pages,"Publisher: Microsoft Press; 1 edition (October 21, 2000)",Language: English,ISBN-10: 9780735611313
"https://images-na.ssl-images-amazon.com/images/I/51UmE1SYgWL._SX258_BO1,204,203,200_.jpg","Internet Password Logbook (Cognac Leatherette): Keep track of: usernames, passwords, web addresses in one easy & organized location",Editors of Rock Point,Hardcover: 128 pages,"Publisher: Rock Point; Csm edition (March 10, 2016)",Language: English,ISBN-10: 1631061941
"https://images-na.ssl-images-amazon.com/images/I/41vO94OxzlL._SX331_BO1,204,203,200_.jpg",CompTIA A+ 220-901 and 220-902 Exam Cram,David L. Prowse,Series: Exam Cram,Paperback: 800 pages,"Publisher: Pearson IT Certification; 1 edition (January 30, 2016)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51A6sUbwG2L._SY344_BO1,204,203,200_.jpg",Advances in Financial Machine Learning,None,Hardcover: 400 pages,"Publisher: Wiley; 1 edition (February 21, 2018)",Language: English,ISBN-10: 1119482089
"https://images-na.ssl-images-amazon.com/images/I/51nisE9u4WL._SX384_BO1,204,203,200_.jpg",QuickBooks Pro 2019 Quick Reference Training Card - Laminated Tutorial Guide Cheat Sheet (Instructions and Tips),None,Pamphlet: 4 pages,"Publisher: TeachUcomp Inc (September 19, 2018)",Language: English,ISBN-10: 1941854265
"https://images-na.ssl-images-amazon.com/images/I/41JgJdHDt3L._SY344_BO1,204,203,200_.jpg",Game Changer: AlphaZero's Groundbreaking Chess Strategies and the Promise of AI,Matthew Sadler,Paperback: 416 pages,"Publisher: New In Chess (February 15, 2019)",Language: English,ISBN-10: 9056918184
"https://images-na.ssl-images-amazon.com/images/I/61eRCiTDr7L._SX401_BO1,204,203,200_.jpg","Jab, Jab, Jab, Right Hook: How to Tell Your Story in a Noisy Social World",Gary Vaynerchuk,Hardcover: 224 pages,"Publisher: HarperBusiness; 1 edition (November 26, 2013)",Language: English,ISBN-10: 006227306X
"https://images-na.ssl-images-amazon.com/images/I/51pcJuvTC3L._SX258_BO1,204,203,200_.jpg",Office 2016 All-In-One For Dummies,Peter Weverka,Series: For Dummies,Paperback: 800 pages,"Publisher: For Dummies; 1 edition (November 2, 2015)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51xiCuJ7VML._SX326_BO1,204,203,200_.jpg","Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,Paperback: 390 pages,"Publisher: Oxford University Press; Reprint edition (May 1, 2016)",Language: English,ISBN-10: 9780198739838
"https://images-na.ssl-images-amazon.com/images/I/51XtkOFguAL._SX404_BO1,204,203,200_.jpg",Keto Diet: A Simple and Effective Guide to Losing Weight for Beginners,Jacob Greene,Paperback: 253 pages,"Publisher: Independently published (January 25, 2019)",Language: English,ISBN-10: 1795001534
"https://images-na.ssl-images-amazon.com/images/I/51Df4YVLvbL._SX329_BO1,204,203,200_.jpg",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,Hardcover: 416 pages,"Publisher: Twelve; 1 edition (April 7, 2015)",Language: English,ISBN-10: 1455554790
"https://images-na.ssl-images-amazon.com/images/I/61ZG-hATOeL._SX430_BO1,204,203,200_.jpg",Head First Design Patterns: A Brain-Friendly Guide,Eric Freeman,Series: Head First,Paperback: 694 pages,Publisher: O'Reilly Media; 1st edition (October 2004),Language: English
"https://images-na.ssl-images-amazon.com/images/I/51FUYfErOXL._SX258_BO1,204,203,200_.jpg","Code Complete: A Practical Handbook of Software Construction, Second Edition",Steve McConnell,Paperback: 960 pages,"Publisher: Microsoft Press; 2nd edition (June 19, 2004)",Language: English,ISBN-10: 0735619670
"https://images-na.ssl-images-amazon.com/images/I/51YVwjln0cL._SY373_BO1,204,203,200_.jpg","Pokémon: Let's Go, Pikachu! & Pokémon: Let's Go, Eevee!: Official Trainer's Guide & Pokédex (Pokemon (Prima Official Guide/Official Pokedex Guide))",Pokemon Company International,Series: Pokemon (Prima Official Guide/Official Pokedex Guide),Paperback: 400 pages,"Publisher: The Pokémon Company International (November 23, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41p7u2kJACL._SX258_BO1,204,203,200_.jpg",HTML and CSS: Design and Build Websites,Jon Duckett,Paperback: 490 pages,"Publisher: John Wiley & Sons; 1st edition (November 8, 2011)",Language: English,ISBN-10: 1118008189
"https://images-na.ssl-images-amazon.com/images/I/418f5OSB5iL._SX379_BO1,204,203,200_.jpg",macOS Mojave: The Missing Manual: The book that should have been in the box,David Pogue,Series: Missing Manual,Paperback: 880 pages,"Publisher: O'Reilly Media; 1 edition (December 30, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41i1z4hAJAL._SY344_BO1,204,203,200_.jpg",A Smarter Way to Learn Python: Learn it faster. Remember it longer.,Mark Myers,Paperback: 236 pages,"Publisher: CreateSpace Independent Publishing Platform (August 9, 2017)",Language: English,ISBN-10: 1974431479
"https://images-na.ssl-images-amazon.com/images/I/61iWkQ87uTL._SX258_BO1,204,203,200_.jpg",UNIX and Linux System Administration Handbook (5th Edition),Trent R. Hein,Paperback: 1232 pages,"Publisher: Addison-Wesley Professional; 5 edition (August 18, 2017)",Language: English,ISBN-10: 0134277554
"https://images-na.ssl-images-amazon.com/images/I/51eySrl5hcL._SX340_BO1,204,203,200_.jpg",LikeWar: The Weaponization of Social Media,P. W. Singer,Hardcover: 416 pages,"Publisher: Eamon Dolan/Houghton Mifflin Harcourt (October 2, 2018)",Language: English,ISBN-10: 1328695743
"https://images-na.ssl-images-amazon.com/images/I/41vE0CNZ7JL._SX258_BO1,204,203,200_.jpg",WordPress for Beginners 2019: A Visual Step-by-Step Guide to Mastering WordPress (Webmaster Series),Dr. Andy Williams,Series: Webmaster Series (Book 2),Paperback: 227 pages,"Publisher: Independently published (October 19, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/514043DnLLL._SY344_BO1,204,203,200_.jpg",Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,Paperback: 288 pages,"Publisher: Broadway Books; Reprint edition (September 5, 2017)",Language: English,ISBN-10: 0553418831
"https://images-na.ssl-images-amazon.com/images/I/61jh9-QOVML._SX402_BO1,204,203,200_.jpg",Adobe Illustrator CC Classroom in a Book (2019 Release),Brian Wood,Series: Classroom in a Book,Paperback: 480 pages,"Publisher: Adobe Press; 1 edition (January 5, 2019)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51OBhcSAfAL._SY344_BO1,204,203,200_.jpg","User Story Mapping: Discover the Whole Story, Build the Right Product",Jeff Patton,Paperback: 324 pages,"Publisher: O'Reilly Media; 1 edition (September 25, 2014)",Language: English,ISBN-10: 1491904909
"https://images-na.ssl-images-amazon.com/images/I/41Eh5w9SdmL._SY344_BO1,204,203,200_.jpg",Merchants of Truth: The Business of News and the Fight for Facts,Jill Abramson,Hardcover: 544 pages,"Publisher: Simon & Schuster (February 5, 2019)",Language: English,ISBN-10: 1501123203
"https://images-na.ssl-images-amazon.com/images/I/410H2IHR3vL._SX258_BO1,204,203,200_.jpg","The Art of Computer Programming, Volumes 1-4A Boxed Set",Donald E. Knuth,Hardcover: 9998 pages,"Publisher: Addison-Wesley Professional; 1 edition (March 3, 2011)",Language: English,ISBN-10: 0321751043
"https://images-na.ssl-images-amazon.com/images/I/41HsXy8xJnL._SX322_BO1,204,203,200_.jpg",Shit I Can't Remember: An Organizer for All Your Passwords and Shit,None,Paperback: 50 pages,"Publisher: CreateSpace Independent Publishing Platform (March 4, 2017)",Language: English,ISBN-10: 1544180926
"https://images-na.ssl-images-amazon.com/images/I/41n9peH5i5L._SY344_BO1,204,203,200_.jpg","Python Programming: A Step By Step Guide From Beginner To Expert (Beginner, Intermediate & Advanced)",Anthony Brun,Paperback: 114 pages,"Publisher: Independently published (January 27, 2019)",Language: English,ISBN-10: 1795234318
"https://images-na.ssl-images-amazon.com/images/I/514Q7showHL._SX352_BO1,204,203,200_.jpg",The Art of Metal Gear Solid I-IV,None,Hardcover: 800 pages,"Publisher: Dark Horse Books (August 7, 2018)",Language: English,ISBN-10: 1506705812
"https://images-na.ssl-images-amazon.com/images/I/51EvASa6oUL._SX258_BO1,204,203,200_.jpg",Networking All-in-One For Dummies,Doug Lowe,Series: For Dummies,Paperback: 984 pages,"Publisher: For Dummies; 7 edition (April 10, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51tapRZrNLL._SX324_BO1,204,203,200_.jpg",How I Raised Myself from Failure to Success in Selling,Frank Bettger,Paperback: 192 pages,"Publisher: Touchstone; 1st Fireside ed edition (April 9, 1992)",Language: English,ISBN-10: 067179437X
"https://images-na.ssl-images-amazon.com/images/I/51gjfTyCR6L._SX397_BO1,204,203,200_.jpg",Office 2019 All-in-One For Dummies (Office All-in-one for Dummies),Peter Weverka,Series: Office All-in-one for Dummies,Paperback: 816 pages,"Publisher: For Dummies; 1 edition (October 30, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51BsINmFoRL._SX331_BO1,204,203,200_.jpg",iPhone: The Missing Manual: The book that should have been in the box,David Pogue,Series: Missing Manual,Paperback: 712 pages,"Publisher: O'Reilly Media; 12 edition (November 16, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51Gsycdh-TL._SX430_BO1,204,203,200_.jpg","Head First Java, 2nd Edition",Kathy Sierra,Series: Head First,Paperback: 688 pages,"Publisher: O'Reilly Media; 2nd edition (February 19, 2005)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51BsINmFoRL._SX331_BO1,204,203,200_.jpg",iPhone: The Missing Manual: The book that should have been in the box,David Pogue,Series: Missing Manual,Paperback: 712 pages,"Publisher: O'Reilly Media; 12 edition (November 16, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51Gsycdh-TL._SX430_BO1,204,203,200_.jpg","Head First Java, 2nd Edition",Kathy Sierra,Series: Head First,Paperback: 688 pages,"Publisher: O'Reilly Media; 2nd edition (February 19, 2005)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51xIk1-r0vL._SX258_BO1,204,203,200_.jpg",Programming Bitcoin: Learn How to Program Bitcoin from Scratch,Jimmy Song,Paperback: 322 pages,"Publisher: O'Reilly Media; 1 edition (March 2, 2019)",Language: English,ISBN-10: 1492031496
"https://images-na.ssl-images-amazon.com/images/I/51eW85NNGQL._SX258_BO1,204,203,200_.jpg",AWS Certified Solutions Architect Official Study Guide: Associate Exam (Aws Certified Solutions Architect Official: Associate Exam),Joe Baron,Series: Aws Certified Solutions Architect Official: Associate Exam,Paperback: 437 pages,"Publisher: Sybex; 1 edition (October 17, 2016)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41LEirGUWAL._SX258_BO1,204,203,200_.jpg","Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow, 2nd Edition",Sebastian Raschka,Paperback: 622 pages,"Publisher: Packt Publishing; 2nd edition (September 20, 2017)",Language: English,ISBN-10: 9781787125933
"https://images-na.ssl-images-amazon.com/images/I/51gKAVDyENL._SX334_BO1,204,203,200_.jpg",Howl's Moving Castle,Diana Wynne Jones,Age Range: 8 - 12 years,Grade Level: 3 - 7,Lexile Measure: 800 (What's this?),Paperback: 448 pages
"https://images-na.ssl-images-amazon.com/images/I/413RAEUFs5L._SX329_BO1,204,203,200_.jpg",Wise Guy: Lessons from a Life,Guy Kawasaki,Hardcover: 272 pages,"Publisher: Portfolio (February 26, 2019)",Language: English,ISBN-10: 0525538615
"https://images-na.ssl-images-amazon.com/images/I/41Yb4VZMZ5L._SY344_BO1,204,203,200_.jpg",Elements of Programming Interviews: The Insiders' Guide,Adnan Aziz,Paperback: 534 pages,"Publisher: CreateSpace Independent Publishing Platform; 2 edition (October 11, 2012)",Language: English,ISBN-10: 1479274836
"https://images-na.ssl-images-amazon.com/images/I/51eFBpqPSLL._SX379_BO1,204,203,200_.jpg",Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14,Scott Meyers,Paperback: 334 pages,"Publisher: O'Reilly Media; 1 edition (December 5, 2014)",Language: English,ISBN-10: 9781491903995
"https://images-na.ssl-images-amazon.com/images/I/51MM-ojjthL._SY402_BO1,204,203,200_.jpg",Product Roadmaps Relaunched: How to Set Direction while Embracing Uncertainty,C. Todd Lombardo,Paperback: 272 pages,"Publisher: O'Reilly Media; 1 edition (November 4, 2017)",Language: English,ISBN-10: 149197172X
"https://images-na.ssl-images-amazon.com/images/I/51WE7KUmdpL._SY344_BO1,204,203,200_.jpg",The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,Paperback: 304 pages,"Publisher: W. W. Norton & Company (June 6, 2011)",Language: English,ISBN-10: 9780393339758
"https://images-na.ssl-images-amazon.com/images/I/51T6CXnzY4L._SX395_BO1,204,203,200_.jpg",The Photographer's Guide to Posing: Techniques to Flatter Everyone,Lindsay Adler,Paperback: 448 pages,"Publisher: Rocky Nook (May 26, 2017)",Language: English,ISBN-10: 1681981947
"https://images-na.ssl-images-amazon.com/images/I/51W34H3gGsL._SX455_BO1,204,203,200_.jpg",The Art of Magic: The Gathering - Ravnica,James Wyatt,Series: The Art of Magic: The Gathering,Hardcover: 240 pages,"Publisher: Perfect Square (January 1, 2019)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51zUZxQTIhL._SX376_BO1,204,203,200_.jpg",The Legend of Zelda Encyclopedia Deluxe Edition,Nintendo,Hardcover: 328 pages,"Publisher: Dark Horse Books; Deluxe edition (June 19, 2018)",Language: English,ISBN-10: 1506707408
"https://images-na.ssl-images-amazon.com/images/I/41IaczkMtoL._SY344_BO1,204,203,200_.jpg",Applied Artificial Intelligence: A Handbook For Business Leaders,Mariya Yao,Paperback: 246 pages,"Publisher: TOPBOTS (April 30, 2018)",Language: English,ISBN-10: 0998289027
"https://images-na.ssl-images-amazon.com/images/I/41RrOxr1tSL._SX331_BO1,204,203,200_.jpg","Reset Your Child's Brain: A Four-Week Plan to End Meltdowns, Raise Grades, and Boost Social Skills by Reversing the Effects of Electronic Screen-Time",None,Paperback: 384 pages,"Publisher: New World Library (July 14, 2015)",Language: English,ISBN-10: 1608682846
"https://images-na.ssl-images-amazon.com/images/I/41OkyX3WhLL._SY344_BO1,204,203,200_.jpg",The Bitcoin Standard: The Decentralized Alternative to Central Banking,Saifedean Ammous,Hardcover: 304 pages,"Publisher: Wiley; 1 edition (April 24, 2018)",Language: English,ISBN-10: 1119473861
"https://images-na.ssl-images-amazon.com/images/I/61njXYbV6pL._SX384_BO1,204,203,200_.jpg",Microsoft Excel 2016 Functions & Formulas Quick Reference Card - Windows Version (4-page Cheat Sheet focusing on examples and context for ... functions and formulas- Laminated Guide),Beezix Inc,Pamphlet: 4 pages,"Publisher: Beezix Inc (May 2, 2016)",Language: English,ISBN-10: 1939791979
"https://images-na.ssl-images-amazon.com/images/I/51wK0TJi5iL._SX258_BO1,204,203,200_.jpg",QuickBooks Online For Dummies (For Dummies (Computer/Tech)),Elaine Marmel,Series: For Dummies (Computer/Tech),Paperback: 416 pages,"Publisher: For Dummies; 4 edition (March 20, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51ckI7g8YWL._SX258_BO1,204,203,200_.jpg",Microsoft Excel Data Analysis and Business Modeling (5th Edition),Wayne Winston,Paperback: 864 pages,"Publisher: Microsoft Press; 5 edition (December 19, 2016)",Language: English,ISBN-10: 8120353358
"https://images-na.ssl-images-amazon.com/images/I/41x8ODUP8hL._SX324_BO1,204,203,200_.jpg",Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked,Adam Alter,Paperback: 368 pages,"Publisher: Penguin Books; Reprint edition (March 6, 2018)",Language: English,ISBN-10: 0735222843
"https://images-na.ssl-images-amazon.com/images/I/41nscMgTjlL._SX348_BO1,204,203,200_.jpg",Info We Trust: How to Inspire the World with Data,RJ Andrews,Hardcover: 272 pages,"Publisher: Wiley; 1 edition (January 17, 2019)",Language: English,ISBN-10: 1119483891
"https://images-na.ssl-images-amazon.com/images/I/61uUPXbhMxL._SX258_BO1,204,203,200_.jpg",Grokking Algorithms: An illustrated guide for programmers and other curious people,Aditya Bhargava,Paperback: 256 pages,Publisher: Manning Publications; 1 edition (May 2016),Language: English,ISBN-10: 1617292230
"https://images-na.ssl-images-amazon.com/images/I/51rcA9pjcRL._SX258_BO1,204,203,200_.jpg",Photoshop Elements 2019 For Dummies,None,Series: For Dummies,Paperback: 448 pages,"Publisher: For Dummies; 1 edition (November 6, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41aBEKufQZL._SX383_BO1,204,203,200_.jpg","CCENT ICND1 Study Guide: Exam 100-105, 3rd Edition",Todd Lammle,Paperback: 696 pages,"Publisher: Sybex; 3 edition (July 5, 2016)",Language: English,ISBN-10: 1119288789
