#моя [не]идеальная жизнь,Кинселла С.,"О чем: Главная героиня, Кэт Бреннер, работает в маркетинговом агентстве, и ее жизнь, которой она активно делится с подписчиками в социальных сетях, казалось бы, ярка и интересна. Но, увы, это лишь обложка, под которой скрываются финансовые проблемы, склоки с соседями по тесной съемной квартире и одиночество в огромном чужом городе. Кэт страдает от того, что не может сделать свою жизнь столь же красочной и полной поводов для гордости, как та, которую она показывает в Instagram. Но вскоре Кэт поймет, что в действительности надо уделять внимание вовсе не дизайнерским украшениям и стильным нарядам, которые вызывают зависть у подписчиков, а любви. И эта любовь уже вот-вот готова ворваться в ее жизнь… Для кого: Для романтичных натур, которые идут в ногу с современными технологиями и трендами. Для тех, кто ценит в литературе динамичность, искренность и сильную любовную линию. Для читателей, которые истосковались по увлекательным и нестандартным женским романам. Для всех, кто хочет с головой...",4 200 тг,5,Эксмо,2017 г.,9785699947492,480,Твердый,177 мм x 107 мм,27 мм,300 г.,http://www.bookcity.kz/content/images/thumbs/5102089_1438614.jpeg
Ангел-хранитель,Спаркс Н.,"""Жили они долго и счастливо и умерли в один день…"" К сожалению, такое бывает только в сказках! А в жизни Джулия Беренсон, долгие годы мучительно переживающая смерть любимого мужа, постепенно забывает боль утраты и начинает задумываться о новом счастье. В поклонниках, предлагающих ей руку и сердце, нет недостатка - и каждый из них, в сущности, может стать хорошим мужем. Но чем дальше, тем яснее становится Джулии, что один из ее верных и добрых поклонников - совсем не тот человек, за которого себя выдает…",1 300 тг,1,АСТ,2016 г.,9785170991792,544,Мягкий,165 мм x 107 мм,25 мм,250 г.,http://www.bookcity.kz/content/images/thumbs/5094409_1432380.jpeg
Анжелика - маркиза ангелов,Голон А.,"Перед нами едва ли не самый удачный приключенческий роман со времен ""Трех мушкетеров"" А.Дюма. Недаром полвека спустя после нашумевшей экранизации АНЖЕЛИКИ с Мишель Мерсье в главной роли французский кинематограф и режиссер Ариэль Зейтун с триумфом возвращаются к роману Анн Голон. АНЖЕЛИКА - МАРКИЗА АНГЕЛОВ - знаменитый историко- авантюрный роман, первый из серии книг, написанных Анн Голон. История умной и своевольной Анжелики, которую отец выдает замуж за таинственного графа де Пейрака, по слухам колдовским образом превращающего металлическую руду в золото. Он хром, лицо его обезображено шрамом, и все же он невероятно привлекателен. Сюжет, который начинается в духе французской сказки ""Красавица и чудовище"", развертывается в захватывающем ритме романов плаща и шпаги. Приглашение на свадьбу короля Людовика XIV становится роковым для счастливых супругов.",3 100 тг,5,Азбука-Аттикус,2014 г.,9785389071063,608,Твердый,215 мм x 145 мм,21 мм,685 г.,http://www.bookcity.kz/content/images/thumbs/4515760_1363191.jpeg
Анжелика - маркиза ангелов,Голон А.,"«Анжелика — маркиза ангелов» — знаменитый историко-авантюрный роман, первый из серии книг, написанных Анн Голон. История умной и своевольной Анжелики, которую отец выдает замуж за таинственного графа де Пейрака, по слухам колдовским образом превращающего металлическую руду в золото. Он хром, лицо его обезображено шрамом, и все же он невероятно привлекателен. Сюжет, который начинается в духе французской сказки «Красавица и чудовище», разверты вается в захватывающем ритме романов плаща и шпаги. Визит короля Людовика XIV становится роковым для счастливых супругов. Перед нами едва ли не самый удачный приключенческий роман со времен «Трех мушкетеров» А. Дюма. Недаром полвека спустя после нашумевшей экранизации «Анжелики» с Мишель Мерсье в главной роли французский кинематограф и режиссер Ариэль Зейтун с триумфом возвращаются к роману Анн Голон.",1 400 тг,0,Азбука-Аттикус,2015 г.,9785389106192,672,Твердый,200 мм x 130 мм,30 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5094418_1432386.jpeg
Анжелика в Квебеке,Голон А.,"""Анжелика в Квебеке"" - одиннадцатая из серии книг Анн Голон, открывшейся знаменитым историко-авантюрным романом ""Анжелика, маркиза ангелов2, - публикуется в новом, наиболее полном  переводе. Легендарная красавица и ее муж Жоффрей де Пейрак  добираются до Квебека, города на берегу реки святого Лаврентия. Его обитатели известны своей набожностью, и Анжелике предстоит снять с себя  подозрение в том, что она и есть та дьяволица, которая явилась местной монахине в ее пророческом видении. В столице Новой Франции Анжелика встречает старых друзей и старых врагов и среди них опасного противника герцога де Вивонна, брата фаворитки короля. Однако в разгар суровой канадской зимы графиню де Пейрак  ждет самое страшное испытание: она узнает, что  Жоффрей поддался чарам местной красавицы. Анжелика впервые в жизни начинает сомневаться в силе собственной красоты. Так неужели  их любовь, которая преодолела столько преград, потеряна навсегда?",4 500 тг,3,Азбука-Аттикус,2017 г.,978538907463701,860,Твердый,40 мм,880 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5109213_1445062.jpeg
Анжелика в Новом Свете,Голон А.,"""Анжелика в Новом Свете"" - седьмая из серии книг Анн Голон, открывшейся знаменитым историко-авантюрным романом ""Анжелика - маркиза ангелов"". Анжелика и ее муж, граф де Пейрак, а также их дети наконец воссоединились. Но после долгой разлуки им предстоит заново привыкнуть друг к другу. К тому же трудно узнать в этой сильной и смелой женщине, способной держать тяжелое ружье, месить тесто, справляться с норовистой лошадью, ту легкомысленную красавицу, что вскружила голову Людовику XIV. Горстке путников под предводительством графа де Пейрака предстоит совершить гигантский переход. Перед ними - бескрайние просторы Нового Света, девственные леса, озера и реки, а впереди суровая зима. Хватит ли у них сил выдержать новые испытания?",3 200 тг,5,Азбука-Аттикус,2016 г.,978538907108701,544,Твердый,215 мм x 145 мм,28 мм,590 г.,http://www.bookcity.kz/content/images/thumbs/5082694_1421385.jpeg
Анжелика и дьяволица,Голон А.,Анжелика и дьяволица,3 000 тг,3,Азбука-Аттикус,2016 г.,978538907460601,576,Твердый,215 мм x 145 мм,27 мм,620 г.,http://www.bookcity.kz/content/images/thumbs/5089659_1427122.jpeg
Анжелика и ее любовь,Голон А.,"""Анжелика и ее любовь"" - шестая из серии книг, открывшейся знаменитым историко-авантюрным романом ""Анжелика - маркиза ангелов"", написанным Анн Голон. Анжелика, ее маленькая дочка Онорина и группа протестантов из Ла-Рошели, против которых ополчились королевские власти, оказываются на борту пиратского корабля ""Голдсборо"". Чудом им удается ускользнуть от преследователей. Дороги мятежной красавицы и таинственного и могущественного предводителя пиратов Рескатора вновь пересеклись. Но обернется ли новый поворот судьбы той самой долгожданной встречей любящих сердец? И что ждет беглецов в неведомых краях?",3 200 тг,5,Азбука-Аттикус,2015 г.,9785389071070,448,Твердый,215 мм x 145 мм,29 мм,525 г.,http://www.bookcity.kz/content/images/thumbs/5071956_1411430.jpeg
Анжелика и заговор теней,Голон А.,"""Анжелика и заговор теней"" - десятая из серии книг Анн Голон, открывшейся знаменитым историко-авантюрным романом ""Анжелика, маркиза ангелов"". Легендарная красавица и ее муж Жоффрей де Пейрак понимают, что нити направленных против них заговоров тянутся в столицу новой Франции - в Квебек. Но именно там следует искать союзников. Поэтому они отправляются в долгое плавание. Им угрожают наёмные убийцы, тайные и явные недоброжелатели. И все же только в Квебеке они смогут обеспечить безопасность своих поселений на американском континенте. Во время этого путешествия перед Анжеликой вновь возникают тени прошлого, образы тех, с кем она была связана в Версале, Париже и Ла-Рошели. Пытаясь обрести точку опоры, Анжелика вновь вглядывается в прошлое, чтобы понять настоящее.",3 000 тг,3,Азбука-Аттикус,2016 г.,978538907461301,384,Твердый,22 мм,495 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5091754_1429691.jpeg
Анжелика и король,Голон А.,"АНЖЕЛИКА И КОРОЛЬ - третья из серии книг, открывшейся знаменитым историко-авантюрным романом «Анжелика - маркиза ангелов», написанным Анн Голон. Во Франции времен Людовика XIV все пути вели в Версаль. Любая красавица почитала за счастье предстать перед взором короля-солнце, хотя жить при дворе было ничуть не менее опасно, чем отправиться босиком через джунгли. Как сложится судьба мечтавшей о придворной жизни великолепной красавицы Анжелики, которая не утратила тоски по истинной любви?..",3 700 тг,0,Азбука-Аттикус,2014 г.,978538907170402,544,Твердый,215 мм x 145 мм,28 мм,620 г.,http://www.bookcity.kz/content/images/thumbs/5060342_1401023.jpeg
Анжелика. Война в кружевах,Голон А.,"Анжелика в Версале! Разодетые в кружева придворные Людовика XIV в. погоне за благосклонностью ""короля-солнце"" плетут коварные интриги. В ход идут обман и клевета, яд и колдовство. В этом двуличном мире очаровательной героине придется постоять за себя и за свою любовь...",2 100 тг,0,Клуб Семейного Досуга,2012 г.,9785991014717,368,Твердый,200 мм x 130 мм,20 мм,318 г.,http://www.bookcity.kz/content/images/thumbs/5015880_1385472.jpeg
Анжелика. Королевские празднества,Голон А.,"Готовится новая экранизация! О настоящей Анжелике вы еще не читали! Полная версия самой романтической истории любви в авторской редакции! В третьей книге полного издания романов об Анжелике вступают в брак король Франции Людовик XIV и испанская инфанта Мария-Терезия. Для главных героев - Анжелики и Жоффрея - это событие становится началом трагической страницы в их жизни. Любовь сталкивается с жестокой реальностью, и Анжелика начинает борьбу за то, чтобы вернуть свое счастье.",3 200 тг,0,Клуб Семейного Досуга,2015 г.,9789661452014,320,Твердый,200 мм x 130 мм,19 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5016669_1392421.jpeg
Анжелика. Мученик Нотр-Дама,Голон А.,"Готовится новая экранизация! О настоящей Анжелике вы еще не читали! Полная версия самой романтической истории любви в авторской редакции! Лидер читательского признания! Завершаются празднества при дворе. Все помыслы короля лишь о том, как заставить Анжелику забыть о муже. Но его старания тщетны. В это время начинается процесс против графа де Пейрака. Сам Людовик собирается заслушать дело - на стороне обвинения. В глубине души король боится этого необыкновенного человека, наделенного великим талантом и способного зачаровать и аудиторию, и судей, и его самого... И вот ""справедливый"" суд подходит к концу. Всем ясно, каков будет вердикт. Нет ничего более ужасного, чем сгореть заживо, зная, что твоя вина лишь в том, что тебе принадлежит женщина, которую пожелал король. Анжелика оказывается на улице. Будущее представляется ей беспросветным кошмаром. Но она должна жить - ради детей.",2 600 тг,0,Клуб Семейного Досуга,2013 г.,9789661454292,320,Твердый,200 мм x 130 мм,19 мм,295 г.,http://www.bookcity.kz/content/images/thumbs/5050486_1394032.jpeg
Анжелика. Путь в Версаль,Голон А.,"«Анжелика. Путь в Версаль» — вторая из серии книг Анн Голон, открывшейся знаменитым историко-авантюрным романом «Анжелика — маркиза ангелов». Во Франции времен Людовика XIV все пути вели в Версаль. Но, прежде чем прибыть к королевскому двору, Анжелика, которая после казни мужа оказалась в отчаянном положении, попадает в сообщество бандитов и нищих, которое называется Двор Чудес. Анн Голон удивительно точно воссоздает повседневную жизнь парижского дна. Перед Анжеликой стоит задача невероятной сложности: выжить и не сломиться, путем громадных усилий и точного расчета вернуть себе прежнее положение в обществе. Справится ли с ней хрупкая зеленоглазая красавица, ведь у нее на руках маленькие сыновья?.. Впервые на русском языке полная версия первого французского издания знаменитого романа. Перед нами едва ли не самая удачная серия любовно-приключенческих романов со времен «Трех мушкетеров» А. Дюма. Недаром полвека спустя после нашумевшей экранизации «Анжелики» с Мишель Мерсье в главной роли...",3 600 тг,5,Азбука-Аттикус,2014 г.,9785389074569,480,Твердый,215 мм x 145 мм,26 мм,565 г.,http://www.bookcity.kz/content/images/thumbs/5058117_1399375.jpeg
Антистерва,Берсенева А.,"Быть стервой модно. Приобрести этот привлекательный имидж мечтают и девушки, и взрослые женщины. Та, что не желает пронзать каблучками сердца богатых мужчин, вызывает в наше время недоумение. Тем более что у нее, у Лолы Ермоловой, есть все данные, чтобы добиться успеха: красива, умна, эффектна… Ради чего же она отказывается от блестящих возможностей, открывающихся перед умелой стервой, и что получит взамен?",1 200 тг,4,Эксмо,2018 г.,9785040928125,Мягкий,29 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5118726_1451600.jpeg
Антология городских легенд. О сексе и любви,Трофимов                                                                        ,"Городские легенды раскроют вам тайны порочных связей, расскажут о секретах беременности и наделят вас мудростью стариков. Эта книга не только развлечет вас, но и удивит обилием легенд, связанных с сексом и самыми невероятными авантюрами. Из этой части антологии Городских легенд вы узнаете: - подсыпают ли солдатам в компот бром и селитру - способствуют ли мятные Altoids оральному сексу - является ли афродизиаком смесь Кока-колы и аспирина - ""продаются"" ли бородавки - предвещает ли несчастье птица, залетевшая в дом - можно ли забеременеть в озере - и многое-многое другое.",500 тг,5,Кислород,2007 г.,9785901635162,256,Мягкий,165 мм x 120 мм,10 мм,188 г.,http://www.bookcity.kz/content/images/thumbs/5005593_1327365.jpeg
