Альбом для домашнего музицирования: Для фортепиано. Выпуск 3,Мовчан С. сост.,"В сборник вошли произведения различных жанров, стилей, эпох, представляющие собой популярнейшие образцы мировой музыкальной культуры. Предназначается для широкого круга любителей музыки.",2 600 тг,1,Музыка,2007 г.,9785714008535,60,Мягкий,290 мм x 220 мм,5 мм,165 г.,http://www.bookcity.kz/content/images/thumbs/5035478_1360806.jpeg
Альбом для домашнего музицирования: Для фортепиано. Выпуск 4,Мовчан С. сост.,"В сборник вошли произведения различных жанров, стилей, эпох, представляющие собой популярнейшие образцы мировой музыкальной культуры. Предназначается для широкого круга любителей музыки.",2 400 тг,0,Музыка,2007 г.,9785714005732,52,Мягкий,290 мм x 220 мм,6 мм,165 г.,http://www.bookcity.kz/content/images/thumbs/5035581_1357711.jpeg
Альбом для домашнего музицирования: Для фортепиано. Выпуск 5,Самарин А.,В сборник вошли пьесы и фрагменты популярных произведений в адаптированном изложении для фортепиано. Адресуется широкому кругу любителей музыки.,3 000 тг,1,Музыка,2010 г.,9790706373263,64,Мягкий,290 мм x 220 мм,5 мм,190 г.,http://www.bookcity.kz/content/images/thumbs/5002876_1324026.jpeg
Альбом для домашнего музицирования: Для фортепиано. Выпуск 7,Самарин В.,Неизвестно,3 200 тг,0,Музыка,9790660061954,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123005_1455731.jpeg
Альбом для домашнего музицирования: Для фортепиано. Выпуск 8,Осеннева М.С.,Неизвестно,2 700 тг,0,Музыка,9790660064665,Мягкий,8 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123064_1455795.jpeg
Альбом для юношества,Шуман Р.,Цикл фортепианных пьес немецкого композитора-романтика в редакции профессора Московской консерватории В.К.Мержанова. Предназначается для учащихся детских музыкальных школ и для любителей музыки.,3 900 тг,0,Музыка,2007 г.,9790706380148,72,Мягкий,290 мм x 220 мм,7 мм,190 г.,http://www.bookcity.kz/content/images/thumbs/5123110_1455843.jpeg
Альбом популярной музыки для фортепиано. Часть 1,Неизвестно,В нотном издании представлены популярные произведения для фортепиано.,3 400 тг,5,Шабатура Д.М,2016 г.,9789857024100,56,Мягкий,4 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108465_1444748.jpeg
Альбом популярной музыки для фортепиано. Часть 2,Неизвестно,"Вашему вниманию предлагается нотное издание ""Альбом популярной музыки. Для фортепиано.",4 500 тг,5,Шабатура Д.М,9789857024117,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108454_1444737.jpeg
Альбом популярной музыки для фортепиано. Часть 3,Неизвестно,Альбом популярной музыки для фортепиано. В 4-х частях. Часть 3Составитель - Д.М.Шабатура.,3 500 тг,4,Шабатура Д.М,2016 г.,9789857024391,60,Мягкий,4 мм,140 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108474_1444757.jpeg
Альбом ученика-пианиста. Подготовительный класс. Хрестоматия,Цыганова Г.,"Сборник предназначен для детей 5-6 лет, обучающихся в подготовительном классе ДМШ, ДШИ или начинающих занятия музыкой под руководством родителей, имеющих музыкальное образование. Все представленные в сборнике песенки и пьесы публикуются впервые. Материал выстроен таким образом, что позволяет решать технологические задачи в доступной для ребенка форме, превращая процесс обучения в увлекательное занятие. Количество песенного материала позволяет полностью охватить начальный нотный период обучения и является достаточным для закрепления полученных навыков. Освоение каждого этапа работы завершается пьесой, которую ребенок исполняет вместе с преподавателем, привыкая к гармонической поддержке и постигая навыки ансамблевого музицирования. Разнообразие тематики песенных текстов является стимулом к обсуждению их образно-эмоциональной сферы, что, безусловно, расширяет кругозор маленького музыканта.",2 400 тг,4,Феникс,2014 г.,9790660034064,64,Мягкий,4 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5034618_1358563.jpeg
Альбом ученика-пианиста. Хрестоматия. 1 класс,Цыганова Г.,"Появление данного сборника вызвано необходимостью расширить традиционный репертуар учеников 1 класса ДМШ и ДШИ.В хрестоматии собрано достаточное количество музыкально-педагогического материала, позволяющее отойти от широко известных произведений, освоив, тем не менее, все разделы программы с учетом индивидуальных возможностей ученика.Весь подбор и систематизация произведений явились отражением как общеизвестных педагогических принципов, так и результатом собственного многолетнего опыта работы с детьми.",3 300 тг,4,Феникс,2017 г.,9790660035429,88,Мягкий,5 мм,200 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5111177_1444484.jpeg
