Музицируем с удовольствием. Часть 1,Неизвестно,Неизвестно,4 100 тг,5,Шабатура Д.М,2017 г.,9789857095766,Мягкий,4 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108444_1444727.jpeg
Музицируем с удовольствием. Часть 2,Неизвестно,"Вашему вниманию предлагается нотное издание ""Музицируем с удовольствием"".Содержание:1. И.С.Бах. Токката и фуга ре минор2. Л.Бетховен. Тема. Из симфонии №53. Зеленые рукава. Английская народная песня4. Г.Гендель. Ларго. Из оперы ""Ксеркс""5. Ж.Массне. Размышление. Из оперы ""Таис""6. Л.Боккерини. Менуэт7. А.Дворжак. Тема. Из симфонии ""Из Нового Света""8. А.Бородин. Ноктюрн9. Ф.Мендельсон. На крыльях песни10. Песня Кондора. Перуанская народная песня11. К.Франсуа, Ж.Рево. Мой путь. Из репертуара Ф.Синатры12. Танец утят. Французская народная песня13. В.Соловьев-Седой. Подмосковные вечер Из кинофильма ""В дни спартакиады""14. Р.Лехтинен. Летка-енька 15. Г.Уоррен. Я знаю почему. Из кинофильма ""Серенада Солнечной долины""16. А.Челентано. Confessa17. Ю.Жиро. Mammy blue. Из репертуара оркестра п/у П.Мориа18. Т.Кутуньо. Феличита. Из репертуара Алъбано и Р.Пауэр19. Ф.Сартори. Time to say goodbuy. Из репертуара А.Бочелли20. В.Дональдсон. Моя крошка21. В.Юманс. Чай вдвоем22. Chris de Burgh. The Lady in Red23. Cara mia. Из репертуара дуэта ""Baccara""24. Т.McNaughton, F.Farian, G.Reyam, B.Dowe. Rivers of Babylon. Из репертуара группы ""Бонни М""25. В.Паллавичини. Индейское лето. Из репертуара Джо Дассена26. Д.Хенли. Отель ""Калифорния"". Из репертуара группы ""Иглз""27. Е.Крылатов. Прекрасное далёко. Из кинофильма ""Гостья из будущего""",4 100 тг,5,Шабатура Д.М,2017 г.,9789857095773,56,Мягкий,6 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108476_1444759.jpeg
Музицируем с удовольствием. Часть 3,Неизвестно,"Вашему вниманию предлагается нотное издание ""Музицируем с удовольствием"".Составитель Шабатура Дмитрий Михайлович.",4 100 тг,5,Шабатура Д.М,2017 г.,9789857095780,52,Мягкий,5 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108471_1444754.jpeg
Музицируем с удовольствием. Часть 4,Неизвестно,"Вашему вниманию предлагается нотное издание ""Музицируем с удовольствием"".Составитель Шабатура Дмитрий Михайлович.",4 100 тг,5,Шабатура Д.М,2017 г.,9789857095797,52,Мягкий,6 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108442_1444725.jpeg
Музицируем с удовольствием. Часть 5,Неизвестно,"Вашему вниманию предлагается нотное издание ""Музицируем с удовольствием"".Составитель Шабатура Дмитрий Михайлович.",4 100 тг,5,Шабатура Д.М,2017 г.,9789857095803,52,Мягкий,5 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108455_1444738.jpeg
Музицируем с удовольствием. Часть 6,Неизвестно,"Вашему вниманию предлагается нотное издание ""Музицируем с удовольствием"".Составитель Шабатура Дмитрий Михайлович.",4 100 тг,5,Шабатура Д.М,2017 г.,9789857095810,52,Мягкий,8 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108466_1444749.jpeg
Музицируем с удовольствием. Часть 7,Неизвестно,"Вашему вниманию предлагается нотное издание ""Музицируем с удовольствием"".Составитель Шабатура Дмитрий Михайлович.",4 100 тг,4,Шабатура Д.М,2017 г.,9789857095827,52,Мягкий,5 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108458_1444741.jpeg
Музыка отдыха. 24 салонные пьесы для фортепиано,Полторацкий В.А.,"Цикл фортепианных миниатюр российского композитора В.Полторацкого, сочетающих традиции классической музыки и джаза. Одна из пьес цикла (№ 9) получила широкую известность как концертная миниатюра ""Сувенир"" в исполнении оркестра ""Виртуозы Москвы"" под управлением В.Спивакова. Предназначается для студентов музыкальных училищ и консерваторий, а также для музыкантов-исполнителей.",2 300 тг,0,Музыка,2008 г.,9785714009532,112,Мягкий,5 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5018590_1339294.jpeg
Музыкальная литература. 3 год. Русская музыкальная классика,Шорникова М.,"Рабочая тетрадь содержит практические задания по темам, изложенным в учебнике ""Музыкальная литература. Русская музыкальная классика: 3 год обучения"". Эти задания разнообразны но формам: теоретические, практические, творческие, обобщающие, тестовые. В нее также включены дополнительные материалы, кроссворды. Вес это расширяет кругозор учащихся, помогает в формировании собственного мнения о музыке и приучает к творческой работе.Рабочая тетрадь точно соответствует содержанию учебника, для которого предназначена.",2 800 тг,0,Феникс,2018 г.,9785222292990,160,Мягкий,200 мм x 130 мм,10 мм,145 г.,http://www.bookcity.kz/content/images/thumbs/5130130_1462522.jpeg
Музыкальная литература. Русская музыка ХХ века. 4 год обучения,Шорникова М.,"Рабочая тетрадь содержит практические задания- по темам, изложенным в учебнике ""Музыкальная литература. Русская музыка XX века. 4-й год обучения"". Эти задания разнообразны по формам: теоретические, практические, творческие, обобщающие, тестовые. В нее также включены дополнительные материалы, кроссворды. Все это расширяет кругозор учащихся, помогает в формировании собственного мнения о музыке и приучает к творческой работе.Рабочая тетрадь точно соответствует содержанию учебника, для которого предназначена.",2 700 тг,0,Феникс,2018 г.,9785222312810,158,Мягкий,200 мм x 130 мм,10 мм,150 г.,http://www.bookcity.kz/content/images/thumbs/5130089_1462483.jpeg
Музыкальный калейдоскоп. Выпуск 3,Шпанова М.,Сборник содержит популярные произведения классических и эстрадных жанров в адаптированном изложении для фортепиано. Предназначается широкому кругу любителей музыки.,2 400 тг,2,Музыка,2014 г.,9790706380940,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5049959_1388728.jpeg
Ноктюрны для фортепиано. Часть 1,Шопен Ф.,Вашему вниманию предлагаются ноктюрны Ф. Шопена для фортепиано.,3 600 тг,2,Шабатура Д.М,2017 г.,9789857095261,66,Мягкий,300 мм x 220 мм,4 мм,130 г.,http://www.bookcity.kz/content/images/thumbs/5108446_1444729.jpeg
Ноктюрны для фортепиано. Часть 2,Шопен Ф.,Вашему вниманию предлагаются ноктюрны Ф.Шопена для фортепиано.,3 500 тг,1,Шабатура Д.М,2017 г.,9789857095728,66,Мягкий,300 мм x 220 мм,4 мм,130 г.,http://www.bookcity.kz/content/images/thumbs/5108452_1444735.jpeg
Ноктюрны: Для фортепиано,Шопен Ф.,"Издание содержит ноктюрны великого польского композитора Ф. Шопена в редакции Оборина и Мильштейна. Снабжено текстологическими комментариями, исследующими разночтения между прижизненными и последующими изданиями ноктюрнов. Адресуется широкому кругу музыкантов — концертирующим пианистам, студентам консерваторий и музыкальных училищ, а также любителям музыки.",6 500 тг,3,Музыка,9790706359328,10 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5094585_1432548.jpeg
Нотная азбука,Кончаловская Н.,Неизвестно,6 400 тг,2,Шабатура Д.М,2017 г.,9789857095926,Мягкий,7 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108451_1444734.jpeg
Обученье без мученья. Учебное пособие на материале детских песен,Геталова О.,Неизвестно,5 400 тг,5,Композитор,2013 г.,9790660046807,Мягкий,6 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5009216_1328680.jpeg
Пантомимы и феерии. Вторая тетрадь,Щербачев Н.,"Николай Васильевич Щербачев (родился в 1853 г. - год смерти неизвестен) - русский композитор и пианист, принадлежавший к кругу композиторов ""Могучей кучки"", близкий приятель М.П.Мусоргского и В.В.Стасова. Щербачев - автор превосходных романсов, фортепианных пьес, оркестровых произведений. Его композиторский талант высоко оценивали Ц.Кюи, М.Балакирев, А.Бородин. ""Картинками, полными поэзии, чувства, живописности и душевной глубины"" назвал В.",800 тг,0,Нота,2006 г.,9785956501368,36,290 мм x 220 мм,5 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5047425_1369370.jpeg
Первая встреча с музыкой. Учебное пособие,Артоболевская А.,"Вашему вниманию предлагается книга ""Первая встреча с музыкой"". Такие добрые и отзывчивые, духовно развитые юноши и девушки необходимы сегодня как воздух, как сама жизнь. Значит, и такие учителя музыки, как Анна Даниловна, - это наше драгоценное достояние, наша надежда на возможное новое Возрождение мира искусств в новом, недавно наступившем тысячелетии"". Сергей Слонимский",4 000 тг,5,Композитор,2013 г.,9785737902612,100,Мягкий,290 мм x 220 мм,6 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5047359_1369695.jpeg
Первоначальный фортепианный учитель,Черни К.,"Этюды и упражнения выдающегося фортепианного педагога К. Черни являются фундаментальной школой последовательного овладения техническими навыками. В настоящем сборнике представлены самые простые и элементарные из них, названные автором «Первоначальный фортепианный учитель» (соч. 599).Издание адресовано учащимся ДМШ и ДШИ, начинающим изучать искусство игры на фортепиано с самых первых уроков.",4 900 тг,1,Шабатура Д.М,2017 г.,9789857095834,72,Мягкий,15 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116156_1449099.jpeg
Первые шаги маленького пианиста,Неизвестно,"В сборник вошли песенки, пьесы, этюды и ансамбли для первых двух лет обучения.",4 200 тг,1,Шабатура Д.М,2017 г.,9789857095445,96,Мягкий,10 мм,235 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5110976_1444728.jpeg
"Первые шаги маленького пианиста. Песенки, пьесы, этюды и ансамбли. Для первых лет обучения","Баранова Г., Четверухина А.",Сборник содержит художественный и инструктивный материал для первоначальной работы с детьми в течение 2-х - 3-х лет обучения. Впервые сборник был издан в 1985 году. Предназначается для учащихся младших классов детских музыкальных школ.,5 600 тг,0,Музыка,2015 г.,9790706359359,128,Мягкий,220 мм x 290 мм,8 мм,355 г.,http://www.bookcity.kz/content/images/thumbs/5072228_1411695.jpeg
Первые шаги. Для фортепиано. Сборник для начинающих. Хрестоматия. Часть 2,Неизвестно,Неизвестно,3 600 тг,3,Шабатура Д.М,2006 г.,2200003518887,Мягкий,4 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108447_1444730.jpeg
Первые шаги. Для фортепиано. Сборник для начинающих. Хрестоматия. Часть 3,Неизвестно,Неизвестно,3 500 тг,1,Шабатура Д.М,2002 г.,2200003518894,Мягкий,3 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108441_1444724.jpeg
Полонезы для фортепиано,Огинский М.,Неизвестно,2 900 тг,3,Шабатура Д.М,2017 г.,9789857095704,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122690_1454276.jpeg
Прелюдии для фортепиано. Тетрадь 1,Дебюсси К.,"Издание содержит двенадцать фортепианных прелюдий (I-XII) знаменитого французского композитора-импрессиониста. Адресовано студентам музыкальных училищ и консерваторий, а также концертирующим пианистам.",3 600 тг,0,Музыка,2008 г.,9785714007446,56,Мягкий,290 мм x 220 мм,7 мм,160 г.,http://www.bookcity.kz/content/images/thumbs/5004337_1325891.jpeg
Произведения французских композиторов для фортепиано,Жукова Л.,В нотном издании представлены произведения известных французских композиторов для фортепиано.,5 000 тг,1,Шабатура Д.М,2014 г.,9789857024711,112,Мягкий,10 мм,290 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5111057_1444760.jpeg
Регтаймы для фортепиано. Часть 1,Джоплин С.,В нотном издании представлены произведения для фортепиано.,4 700 тг,2,Шабатура Д.М,2016 г.,9789857095292,48,Мягкий,5 мм,140 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108463_1444746.jpeg
Регтаймы для фортепиано. Часть 2,Джоплин С.,В нотном издании представлены произведения для фортепиано.,4 700 тг,0,Шабатура Д.М,2016 г.,9789857095308,48,Мягкий,10 мм,140 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108464_1444747.jpeg
Ритмы джаза в игре на фортепиано,Ивэнс Л.,"В предлагаемом пособии изучаются различные виды синкопирования (от простейших до сложных), особенности полиритмии, триоли. Наряду с упражнениями автор приводит собственные оригинальные джазовые пьесы.Издание предназначено для учащихся средних музыкальных заведений, широкого круга любителей джазовой и эстрадной музыки.",2 900 тг,3,Шабатура Д.М,2017 г.,9789857095537,40,Мягкий,10 мм,110 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5111006_1444701.jpeg
Самоучитель игры на фортепиано,Мохель Л.,Неизвестно,2 900 тг,5,Кифара,2014 г.,9790706363097,Мягкий,11 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5026572_1348432.jpeg
Сборник легких пьес для фортепиано. Подготовительный и 1 класс,Барсукова С.А.,Неизвестно,3 600 тг,4,ИП Козлов Сергей,9790660035221,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123391_1456092.jpeg
Сборник фрагментов из классических балетов. Переложение  для фортепиано,Ревская Н.,Неизвестно,3 100 тг,0,Композитор СПБ,9790660042724,10 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132354_1464701.jpeg
Скороговорки. Для фортепиано. 50 упражнений для беглости рук,СимоноваТ.,"Этюды рассчитаны на первые годы обучения ребенка игре на фортепиано. Могут использоваться педагогами как дополнение традиционного репертуара. Изобретательному автору удалось создать маленькие и весьма занимательные пьесы-миниатюры, доступные пониманию ребенка. В сборнике не соблюдается последовательность в нарастании трудности. Педагог в каждом определенном случае может находить пьесы и упражнения, наиболее соответствующие какой-то конкретно поставленной перед учеником задаче, в зависимости от возраста и индивидуальности ребенка...",1 600 тг,1,Композитор СПБ,9790660002322,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132210_1464553.jpeg
Созвучий дивных дар бесценный,Кирсанова Э.,Неизвестно,200 тг,0,Өнер,2004 г.,9789965595677,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5014826_1335965.jpeg
Солнце. Фортепианные пьесы для детей и юношества,Баяхунов Б.Я.,"Автор публикуемых сочинений - современный композитор Бакир Яхиянович Баяхунов (р. 1933), народный артист Республики Казахстан. Большинство произведений навеяно образами Востока, в некоторых из них использованы подлинные казахские напевы.Сборник включает пьесы разного уровня сложности и предназначен для учащихся детских музыкальных школ и музыкальных колледжей.",4 400 тг,0,Музыка,2016 г.,9790660065211,108,Мягкий,290 мм x 220 мм,7 мм,300 г.,http://www.bookcity.kz/content/images/thumbs/5090139_1428058.jpeg
Соната № 14 (Лунная). Для фортепиано,БетховенЛ.,"Людвиг ван Бетховен (1770-1827) - великий немецкий композитор, пианист, дирижер. Последний венский классик, автор всемирно известных симфоний, концертов, оперы ""Фиделио"", квартетов и множества других сочинений практически во всех музыкальных жанрах. Бетховен создал 32 фортепианные сонаты.",1 200 тг,0,Композитор СПБ,2018 г.,9790660004883,1 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132209_1464552.jpeg
Соната №14. К Элизе,Бетховен Л.,"Созданная в 1801 г., она вскоре стала одним из самых популярных сочинений композитора. Бетховен назвал ее Сонатой-фантазией (Sonata quasi una Fantasia), однако за ней прочно сохраняется наименование “Лунной”, данное немецким поэтом Л. Рельштабом, современником и большим почитателем гения Бетховена. Соната отличается исключительной цельностью формы. музыка ее проникнута страстным романтическим порывом, поэтической взволнованностью, красотой.

В курсе музыкальной литературы на разных уровнях обучения сонаты Бетховена изучаются непременно — и как примеры классических форм, и как непревзойденные творческие достижения эпохи «высокого» музыкального классицизма.",700 тг,5,Аллегро,2009 г.,2200002618298,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5106671_1431670.jpeg
Соната для фортепиано в 3 руки. Соната для фортепиано в 4 руки,Геслер И.В.,"В сборнике представлены редко издаваемые сонаты для фортепиано в 3 и в 4 руки немецкого композитора Иоганна Вильгельма Геслера. Последние 30 лет жизни он провел в России, где прославился как пианист, педагог и композитор. Предназначается для учащихся старших классов детских музыкальных школ и студентов музыкальных училищ.",900 тг,0,Музыка,2007 г.,9785714003547,48,290 мм x 220 мм,5 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5035595_1357813.jpeg
"Сонатины для фортепиано. Соч. 151, 168. Ноты",Диабелли А.,"Антон Диабелли - австрийский композитор, педагог, редактор и музыкальный издатель.Из композиторского наследия Диабелли наибольшей популярностью пользуются его произведения для фортепиано, в частности, сонатины, прочно входящие в репертуар юных пианистов. В настоящий сборник вошли четыре сонатины, соч. 151, и семь сонатин, соч. 168.Издание предназначено для учащихся детских музыкальных школ и студентов музыкальных училищ, а также для широкого круга любителей фортепианной музыки.",5 300 тг,0,Лань-Пресс,2018 г.,9785811431090,88,Мягкий,15 мм,205 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5125595_1458132.jpeg
Сонатная триада,Галынин Г.,"Яркое и самобытное произведение российского композитора XX века. Адресуется студентам музыкальных училищ и консерваторий, а также концертирующим пианистам.",1 200 тг,0,Музыка,2007 г.,9785714008139,40,Мягкий,5 мм,115 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5035522_1357753.jpeg
"Сонаты №33, 38, 48",Гайдн Й.,В данном издании представлено: Соната №33 до минор. Соната №38 Фа мажор. Соната №48 До мажор.,900 тг,2,Кифара,2007 г.,9785901980521,48,Мягкий,290 мм x 220 мм,4 мм,137 г.,http://www.bookcity.kz/content/images/thumbs/5123387_1456089.jpeg
Сонаты для фортепиано. Выпуск 1,Скарлатти Д.,"В издании представлены представлены сонаты выдающегося итальянского композитора и клавесиниста XVII века - Доменико Скарлатти.Адресуется учащимся старших классов ДМШ, студентам музыкальных училищ, а также широкому кругу любителей фортепианной музыки.",3 500 тг,0,Музыка,2005 г.,9790660063880,72,Мягкий,290 мм x 220 мм,5 мм,215 г.,http://www.bookcity.kz/content/images/thumbs/5122972_1455697.jpeg
Сонаты для фортепиано. Выпуск 2,Скарлатти Д.,"Продолжение публикации фортепианных сонат итальянского композитора и клавесиниста Доменико Скарлатти в исполнительской редакции А.Николаева и И.Окраинец. Адресуется студентам музыкальных училищ и консерваторий, а также музыкантам-исполнителям.",3 800 тг,0,Музыка,2015 г.,9790660062760,80,Мягкий,290 мм x 220 мм,8 мм,245 г.,http://www.bookcity.kz/content/images/thumbs/5122973_1455698.jpeg
Сонаты: Для фортепиано,Шопен Ф.,"Переиздание трех сонат великого польского композитора в редакции Я.И.Мильштейна. снабжено текстологическими комментариями, исследующими разночтения между прижизненными и последующими изданиями сонат.
Адресуется концертирующим исполнителям, студентам консерваторий и музыкальных училищ.",4 500 тг,0,Музыка,2011 г.,9790706373928,7 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123120_1455737.jpeg
Сочинения для фортепиано,Бородин А.,Неизвестно,1 900 тг,0,Музыка,2010 г.,9785714001666,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5048667_1370999.jpeg
Сюита для фортепиано,Кюи Ц.А.,"Сюита для фортепиано, написанная композитором в 1883 году, посвящена Ф.Листу. Сочинение отмечено масштабностью изложения, виртуозностью фактуры. Публикуется по единственному прижизненному изданию В.Бесселя. Предназначается студентам музыкальных училищ и консерваторий, концертирующим пианистам. Издание с параллельным текстом на английском языке.",1 100 тг,0,П.Юргенсон ,2005 г.,9785972000234,36,340 мм x 245 мм,5 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5022627_1344373.jpeg
Техника игры джазового пианиста,Ивэнс Л.,Неизвестно,2 500 тг,1,Шабатура Д.М,2017 г.,9789857095674,3 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108479_1444762.jpeg
Урок классического танца. Учебное пособие для концертмейстеров балетного класса,Штемпель Н.,"Н.Штемпель - концертмейстер с большим опытом, знающая все тонкости работы в балетном классе. Разнообразнейший нотный материал для всех видов балетных комбинаций составлен из произведений мировой балетной классики и импровизаций концертмейстеров. Его использование позволит концертмейстеру не только существенно расширить музыкальный репертуар, но и подобрать необходимые для урока ноты, не привлекая дополнительной литературы. Фактура большинства произведений намеренно упрощена, что делает материал более доступным и сосредотачивает внимание концертмейстера не на технических, а на художественных и учебных задачах. Учебное пособие для концертмейстеров балетного класса.",7 000 тг,0,Композитор СПБ,9790352206694,10 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132274_1464619.jpeg
Учитесь импровизировать. Практический курс обучения импровизации на фортепиано,Родионова Т.,В книге представлен практический курс обучения художественной импровизации на фортепиано.Для учащихся ДМШ.,5 500 тг,3,Шабатура Д.М,2016 г.,9789857095100,92,Мягкий,10 мм,235 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5111056_1444750.jpeg
Фортепианная техника в удовольствие. Сборник этюдов и пьес. 1 класс,Катаргина О.,Неизвестно,1 400 тг,5,MPI,2006 г.,9785962800950,Мягкий,6 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5052348_1340180.jpeg
Фортепианная техника в удовольствие. Сборник этюдов и пьес. 2 класс,Катаргина О.,Неизвестно,1 500 тг,5,MPI,9785962800967,6 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5052349_1336212.jpeg
Фортепианная техника в удовольствие. Сборник этюдов и пьес. 3 класс,Катаргина О.,Неизвестно,1 700 тг,4,MPI,2006 г.,9785962800974,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5014116_1335931.jpeg
Фортепианная техника в удовольствие. Сборник этюдов и пьес. 4 класс,Катаргина О.,Неизвестно,1 700 тг,4,MPI,9785962800981,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5005067_1326640.jpeg
Фортепианная техника в удовольствие. Сборник этюдов и пьес. 5 класс,Катаргина О.,Неизвестно,2 300 тг,4,MPI,9785962800998,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5009227_1329058.jpeg
Фортепианная техника в удовольствие. Сборник этюдов и пьес. 6 класс,Катаргина О.,Неизвестно,2 300 тг,4,MPI,9785962801001,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5042230_1364801.jpeg
Фортепианная техника в удовольствие. Сборник этюдов и пьес. 7 класс,Катаргина О.,Неизвестно,2 300 тг,4,MPI,9785962801018,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5007814_1330374.jpeg
Фортепианные произведения,Ребиков В.И.,В издание вошли фортепианные миниатюры известного русского композитора рубежа XIX-XX веков. Предназначается для учащихся старших классов ДМШ и студентов музыкальных училищ. Издание с параллельным текстом на английском языке.,2 400 тг,0,П.Юргенсон ,2008 г.,9785972000937,84,340 мм x 245 мм,6 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5021829_1344372.jpeg
Фортепианные пьесы,Шопен Ф.,Шопен Ф. Фортепианные пьесы,3 600 тг,2,Музыка,2016 г.,9790660065365,76,Мягкий,290 мм x 220 мм,5 мм,220 г.,http://www.bookcity.kz/content/images/thumbs/5090138_1428057.jpeg
Фортепиано. 1 класс. ДМШ,Милич Б.,Неизвестно,2 800 тг,5,Кифара,2014 г.,9790706363158,Мягкий,5 мм,265 г.,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5026539_1349069.jpeg
Фортепиано. 3 класс. ДМШ,Милич Б.,Неизвестно,2 700 тг,5,Кифара,2014 г.,9790706363189,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5027140_1347891.jpeg
Фортепиано. 4 класс,Милич Б.,Неизвестно,2 500 тг,4,Кифара,2014 г.,9790706363165,120,Мягкий,290 мм x 220 мм,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5027141_1347868.jpeg
Фортепиано. 7 класс. ДМШ,Милич Б.,"""Фортепиано"" для 7 класса входит в серию учебно-педагогического репертуара всех классов детской музыкальной школы. Сборник позволяет снабдить учащегося необходимым набором произведений, которые должны быть изучены в течение года по программе. Подбор произведений, их последовательность и глубоко продуманная педагогическая редакция, основаны на многолетнем личном опыте преподавания проф. Б.Е.",3 100 тг,4,Кифара,2009 г.,9790706363462,104,Мягкий,290 мм x 220 мм,10 мм,373 г.,http://www.bookcity.kz/content/images/thumbs/5026542_1348321.jpeg
Фортепиано. Хрестоматия. Часть-1,Григоренко В.,Неизвестно,2 000 тг,2,Кифара,2008 г.,9790706363011,Мягкий,11 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5052591_1388312.jpeg
Французские сюиты,Бах И.С.,Неизвестно,3 400 тг,2,Музыка,2007 г.,9785714012563,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5052628_1357804.jpeg
Хорошо темперированный клавир. Том 1,Бах И.С.,В нотном издании представлены произведения для фортепиано.,4 300 тг,0,Шабатура Д.М,2016 г.,9789857095391,120,Мягкий,10 мм,270 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5111047_1444732.jpeg
Хорошо темперированный клавир. Том 2,Бах И.С.,Неизвестно,7 600 тг,0,Шабатура Д.М,2017 г.,9789857095452,13 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5108473_1444756.jpeg
Хорошо темперированный клавир. Часть 1,Бах И.С.,"Знаменитый цикл великого немецкого композитора. Каждая часть включает 24 прелюдии и фуги во всех тональностях. Настоящая редакция, принадлежащая известному итальянскому пианисту Бруно Муджеллини, получила большую популярность благодаря подробным педагогическим указаниям. Примечания даны на четырех языках - русском, английском, итальянском и французском. Предназначается для учащихся старших классов детских музыкальных школ, студентов музыкальных училищ и консерваторий, а также для концертной практики.",6 300 тг,4,Музыка,2012 г.,9785714002816,120,Мягкий,290 мм x 220 мм,6 мм,315 г.,http://www.bookcity.kz/content/images/thumbs/5035560_1388813.jpeg
Хорошо темперированный клавир. Часть 1,Бах И.С.,Неизвестно,4 700 тг,2,Музыка,2012 г.,9790706380643,Мягкий,8 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122957_1455687.jpeg
Хорошо темперированный клавир. Часть 2,Бах И.С.,"Знаменитый цикл великого немецкого композитора. Каждая часть включает 24 прелюдии и фуги во всех тональностях. Настоящая редакция, принадлежащая известному итальянскому пианисту Бруно Муджеллини, получила большую популярность благодаря подробным педагогическим указаниям. Примечания даны на четырех языках - русском, английском, итальянском и французском. Предназначается для учащихся старших классов детских музыкальных школ, студентов музыкальных училищ и консерваторий, а также для концертной практики.",7 500 тг,3,Музыка,2006-2014 г.,9785714002823,144,Мягкий,290 мм x 220 мм,7 мм,230 г.,http://www.bookcity.kz/content/images/thumbs/5035525_1388814.jpeg
