100 великих улиц и площадей,Аннина С.А.,"Книга приглашает читателя посетить самые прекрасные и неповторимые площади и улицы мира. Вы узнаете о том, какая улица самая длинная в мире, или самая зеленая, узкая или самая широкая. Вы познакомитесь с историческими событиями и архитектурными достопримечательностями, сформировавшими нынешний облик величайших площадей России, стран Европы, Азии. Ближнего Востока, Африки, Америки.",2 000 тг,0,Вече,2015 г.,9785444419731,416,Твердый,215 мм x 145 мм,33 мм,385 г.,http://www.bookcity.kz/content/images/thumbs/5068282_1407985.jpeg
JOAO ALVARO ROCHA,Неизвестно,Неизвестно,29 600 тг,0,Skira,2005 г.,9788884911131,Мягкий,20 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5096358_1434360.jpeg
Kelly Wearstler Chromatic Rhapsody,Неизвестно,"Design trendsetter Kelly Wearstler shares her inspirations, inviting readers into the creation of her opulent interiors. Celebrated for luxurious interiors that capture the swankiness of old-world Hollywood with a modern pop sensibility, Wearstler is known for her decadent designs of residences and boutique hotels, such as the line of Viceroys and the tastemakers Maison 140 and Avalon. Her ornate interiors are distinctive for layers of bold textures, patterns, and rich colors juxtaposed with lustrous surfaces, adding up to a whimsical and elegant look that has been called ""mod baroque."" This volume offers a look into Wearstler's glamorous world, profiling in detail her latest residential designs (previously unpublished) and her sumptuous new hotels, as well as her creative process. The book also follows the designer - known for her striking personal style - behind the scenes to watch her at work, creating sculpture at her metal foundry or shopping at auction houses, to reveal the...",32 200 тг,0,Rizzoli,2012 г.,978084783858555500,256,Прочий,315 мм x 240 мм,28 мм,1795 г.,http://www.bookcity.kz/content/images/thumbs/5095038_1433048.jpeg
Poster- art.Новое в дизайне постеров.Шарлота Риверз.,Неизвестно,"Poster-Art - коллекция интеллектуальных, остроумных, оригинальных работ собранных по всему миру и ломающих традиционные представления о графическом дизайне и технологии печати плакатов, постеров и афиш. Poster-Art - новое издание продолжающее серию книг CD-Art, DVD-Arl и Mag-Art. В книге собраны постеры, сопровождающие различные виды деятельности и участвующие во всевозможных мероприятиях: музыкальных, кинематографических, фестивальных, выставочных, политических, театральных и т.д. И все они притягивают взгляд, общаются с потребителем и, самое главное, продают. Шарлотта Риверз пишет о графическом дизайне, стиле жизни и креативе для множества всемирно-известных изданий, среди которых: Print, Grafik и Lab. Издание на английском языке.",10 100 тг,0,Рип-Холдинг,2007 г.,9785903190126,160,Твердый,270 мм x 240 мм,20 мм,945 г.,http://www.bookcity.kz/content/images/thumbs/5009878_1331568.jpeg
Remodelista. Уютный дом. Простые и стильные идеи организации пространства,"Карлсон Д., Гуральник М.","О книгеПокупайте меньше вещей и выбирайте качественные. Храните похожие предметы вместе. Выставляйте вещи на видное место, не забивайте полки. Забудьте о перфекционизме и вспомните, что дома - для того, чтобы в них жить. И любители минимализма, и поклонники симпатичных мелочей хотят жить в уютных домах, где ощущают себя счастливыми. Здесь вы найдете сотни простых и сильных советов по организации домашнего пространства. Они проиллюстрированы цветными фотографиями, и вы сможете по их образцу создать свой интерьер. Вы узнаете, как покорить проблемные места любого дома (начиная с аптечки и заканчивая гардеробом), какие инструменты и хитрости можно применить в любой комнате (используйте подносы, ищите свободное пространство на верхних полках, декантируйте всё). А эксперты - от воспитателя детского сада до владельца гостиницы - предложат свои нестандартные идеи, который вы сможете позаимствовать. Всё это составляет замечательное руководство по организации дома.",9 900 тг,5,"Манн, Иванов и Фербер",2019 г.,9785001179283,208,Твердый,240 мм x 170 мм,18 мм,680 г.,http://www.bookcity.kz/content/images/thumbs/5122634_1455374.jpeg
Schindler. Architecture,Неизвестно,Неизвестно,7 600 тг,0,Не указано,2005 г.,9783822839669,Мягкий,15 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5100714_1437377.jpeg
Shabby chic,Неизвестно,Неизвестно,8 700 тг,0,Не указано,978006200731552499,14 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5036194_1358194.jpeg
STEVEN HOLL,Неизвестно,Неизвестно,23 800 тг,0,Thames & Hudson,2003 г.,9780500284629,Мягкий,21 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5096359_1434361.jpeg
Tatlin Mono 1/10/56-2008 Андрей Боков. Журнал,Неизвестно,Неизвестно,930 тг,1,Татлин,460716180001000056,19 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5039039_1361275.jpeg
Tatlin Mono 1/14-2009 Борис Бернаскони. Журнал,Неизвестно,Неизвестно,1 080 тг,1,Татлин,2009 г.,460716180001000069,Мягкий,17 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5003531_1325438.jpeg
Tatlin Mono 1/19-2010 Рождественка. Журнал,Неизвестно,Неизвестно,1 080 тг,0,Татлин,2010 г.,460716180001000082,Мягкий,11 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5003497_1325058.jpeg
